2023-01-18 12:48:05.159; Test signal; 1; 32; 1000; 5.517; BA DC
2023-01-18 12:49:05.946; Saving Test signal; 1; 32; 1000; 5.516; BA DC
2023-01-18 12:50:05.936; Saving Test signal; 1; 32; 1000; 5.516; BA DC
2023-01-18 12:51:06.009; Test signal; 0; 32; 1000; 5.516; BA DC
2023-01-18 12:52:06.711; Test signal; 1; 32; 1000; 5.516; BA DC
2023-01-18 12:53:07.526; Test signal; 0; 32; 1000; 5.515; BA DC
2023-01-18 12:54:07.601; Test signal; 1; 32; 1000; 5.516; BA DC
2023-01-18 12:55:38.274; ImpedanceCheck; 0; 32; 1000; 5.516; BA DC
2023-01-18 12:56:38.439; Test signal; 1; 32; 1000; 5.516; BA DC
2023-01-18 12:57:38.452; Test signal; 0; 32; 1000; 5.516; BA DC
2023-01-18 12:58:39.172; Test signal; 1; 32; 1000; 5.515; BA DC
2023-01-18 12:59:48.643; ImpedanceCheck; 0; 32; 1000; 5.515; BA DC
2023-01-18 13:00:49.122; Test signal; 1; 32; 1000; 5.514; BA DC
2023-01-18 13:01:49.301; Test signal; 0; 32; 1000; 5.514; BA DC
2023-01-18 13:02:57.054; ImpedanceCheck; 0; 32; 1000; 5.516; BA DC
2023-01-18 13:03:57.172; Test signal; 1; 32; 1000; 5.515; BA DC
2023-01-18 13:05:07.107; ImpedanceCheck; 0; 32; 1000; 5.515; BA DC
2023-01-18 13:06:09.725; ImpedanceCheck; 0; 32; 1000; 5.515; BA DC
2023-01-18 13:07:12.042; ImpedanceCheck; 0; 32; 1000; 5.515; BA DC
2023-01-18 13:08:16.620; ImpedanceCheck; 0; 32; 1000; 5.513; BA DC
2023-01-18 13:09:17.239; Test signal; 1; 32; 1000; 5.516; BA DC
2023-01-18 13:10:18.029; Test signal; 0; 32; 1000; 5.515; BA DC
2023-01-18 13:11:33.932; ImpedanceCheck; 0; 32; 1000; 5.516; BA DC
2023-01-18 13:12:37.151; ImpedanceCheck; 0; 32; 1000; 5.515; BA DC
2023-01-18 13:13:44.702; ImpedanceCheck; 0; 32; 1000; 5.515; BA DC
2023-01-18 13:14:45.238; Test signal; 1; 32; 1000; 5.514; BA DC
2023-01-18 13:15:45.345; Test signal; 0; 32; 1000; 5.514; BA DC
2023-01-18 13:16:53.473; ImpedanceCheck; 0; 32; 1000; 5.515; BA DC
2023-01-18 13:17:57.614; ImpedanceCheck; 0; 32; 1000; 5.511; BA DC
2023-01-18 13:18:58.139; Test signal; 0; 32; 1000; 5.511; BA DC
2023-01-18 13:19:58.322; Monitoring; 1; 32; 1000; 5.514; BA DC
2023-01-18 13:21:33.166; Test signal; 1; 32; 1000; 5.514; BA DC
2023-01-18 13:22:33.302; Saving Test signal; 1; 32; 1000; 5.514; BA DC
2023-01-20 12:05:25.660; Monitoring; 0; 32; 5000; 6.500; BA DC
2023-01-20 12:06:25.661; Monitoring; 0; 32; 5000; 5.546; BA DC
2023-02-23 11:16:46.000; ImpedanceCheck; 0; 32; 1000; 5.528; BA DC
